╔══════════════════════════════════════════════════════════════════╗
║     FIX PRT — Tecno Spark 10→30C — TEKH+                        ║
╚══════════════════════════════════════════════════════════════════╝
Date     : 17/05/2026 16:54:59
Règle    : base ≤ 54 000 FCFA | +7 000 FCFA/palier stockage
Scope    : Tecno Spark 10 → 30C (31 variantes)
Modifiés : 23 / 23

Détail des corrections:
---------------------------------------------------------------------------
  Spark 20                          | 128GB   |     65 000 →     54 000 FCFA
  Spark 30 Pro                      | 256GB   |     60 341 →     54 000 FCFA
  Tecno Spark 10                    | 128GB   |     59 745 →     54 000 FCFA
  Tecno Spark 10 Pro                | 128GB   |     46 317 →     41 000 FCFA
  Tecno Spark 10 Pro                | 256GB   |     60 000 →     48 000 FCFA
  Tecno Spark 10C                   | 128GB   |     59 745 →     55 000 FCFA
  Tecno Spark 15 Pro                | 128GB   |     64 000 →     54 000 FCFA
  Tecno Spark 16                    | 128GB   |     60 000 →     54 000 FCFA
  Tecno Spark 16 Pro                | 128GB   |     68 000 →     54 000 FCFA
  Tecno Spark 20 5g                 | 128GB   |     80 000 →     54 000 FCFA
  Tecno Spark 20 5g                 | 256GB   |     84 000 →     61 000 FCFA
  Tecno Spark 20 Pro                | 256GB   |     54 474 →     54 000 FCFA
  Tecno Spark 20 Pro+               | 128GB   |     72 000 →     54 000 FCFA
  Tecno Spark 20 Pro+               | 256GB   |     54 474 →     61 000 FCFA
  Tecno Spark 20C                   | 128GB   |     80 000 →     54 000 FCFA
  Tecno Spark 30                    | 128GB   |     66 183 →     54 000 FCFA
  Tecno Spark 30 4g                 | 128GB   |     92 000 →     54 000 FCFA
  Tecno Spark 30 4g                 | 256GB   |     88 000 →     61 000 FCFA
  Tecno Spark 30 5G                 | 128GB   |     59 967 →     54 000 FCFA
  Tecno Spark 30 5g                 | 256GB   |    100 000 →     61 000 FCFA
  Tecno Spark 30 Pro                | 128GB   |     54 474 →     54 000 FCFA
  Tecno Spark 30C                   | 128GB   |     96 000 →     54 000 FCFA
  Tecno Spark 30C 5G                | 64GB    |     60 341 →     54 000 FCFA
