Motorola ,motorola edge (2020),128,120000,D,8,2021
Motorola ,motorola edge (2022),256,140000,C,12,2021
Motorola ,motorola edge (2022),128,100000,C,8,2021
Motorola ,motorola edge 20,256,120000,C,12,2021
Motorola ,motorola edge 20,128,90000,C,8,2021
Motorola ,motorola edge 20 fusion,128,80000,D,8,2021
Motorola ,motorola edge 20 lite,128,130000,D,8,2022
Motorola ,motorola edge 20 pro,256,150000,C,12,2022
Motorola ,motorola edge 20 pro,128,140000,C,8,2022
Motorola ,motorola edge 30,256,160000,B,12,2022
Motorola ,motorola edge 30,128,120000,B,8,2022
Motorola ,motorola edge 30 fusion,256,140000,B,12,2022
Motorola ,motorola edge 30 fusion,64,110000,B,8,2022
Motorola ,motorola edge 30 neo,128,130000,B,8,2022
Motorola ,motorola edge 30 neo,128,170000,B,8,2022
Motorola ,motorola edge 30 pro,256,190000,B,12,2022
Motorola ,motorola edge 30 pro,128,200000,B,8,2022
Motorola ,motorola edge 30 ultra,256,220000,B,12,2023
Motorola ,motorola edge 30 ultra,512,240000,B,12,2023
Motorola ,motorola edge 30 ultra,128,160000,B,8,2023
Motorola ,motorola edge 40,256,180000,B,12,2023
Motorola ,motorola edge 40,128,140000,B,8,2023
Motorola ,motorola edge 40 fusion,256,160000,B,12,2023
Motorola ,motorola edge 40 fusion,128,130000,B,8,2023
Motorola ,motorola edge 40 neo,256,150000,B,12,2023
Motorola ,motorola edge 40 neo,128,190000,B,8,2023
Motorola ,motorola edge 40 pro,256,210000,B,12,2020
Motorola ,motorola edge 40 pro,512,230000,B,12,2020
Motorola ,motorola edge 40 pro,256,180000,B,12,2020
Motorola ,motorola edge 50,128,135000,A,8,2020
Motorola ,motorola edge 50 fusion,256,155000,A,12,2020
Motorola ,motorola edge 50 fusion,512,175000,A,12,2020
Motorola ,motorola edge 50 fusion,128,140000,A,8,2020
Motorola ,motorola edge 50 neo,256,160000,A,12,2020
Motorola ,motorola edge 50 neo,128,200000,A,8,2020
Motorola ,motorola edge 50 pro,256,220000,A,12,2020
Motorola ,motorola edge 50 pro,512,240000,A,12,2020
Motorola ,motorola edge 50 pro,512,250000,A,12,2020
Motorola ,motorola edge 50 ultra,1024,270000,A,12,2020
Motorola ,motorola edge 50 ultra,128,195000,A,8,2020
Motorola ,motorola edge 60 fusion,256,215000,A,12,2020
Motorola ,motorola edge 60 fusion,256,230000,A,12,2020
Motorola ,motorola edge 60 pro,512,250000,A,12,2020
Motorola ,motorola edge 60 pro,512,260000,A,12,2020
Motorola ,motorola edge 60 ultra,1024,280000,A,12,2020
Motorola ,motorola edge 60 ultra,256,90000,A,12,2020
Motorola ,motorola edge+ (2020),128,150000,D,8,2020
Motorola ,motorola edge+ (2022),256,170000,B,12,2022
Motorola ,motorola edge+ (2022),512,190000,B,12,2022
Motorola ,motorola edge+ (2022),32,30000,B,2,2022
Motorola ,motorola moto e13,64,35000,E,4,2023
Motorola ,motorola moto e13,32,35000,E,2,2023
Motorola ,motorola moto e20,64,40000,F,4,2021
Motorola ,motorola moto e20,32,40000,F,2,2021
Motorola ,motorola moto e22,64,45000,E,4,2022
Motorola ,motorola moto e22,64,45000,E,4,2022
Motorola ,motorola moto e22s,128,50000,E,6,2022
Motorola ,motorola moto e22s,64,50000,E,4,2022
Motorola ,motorola moto e40,128,55000,E,6,2021
Motorola ,motorola moto e40,64,65000,E,4,2021
Motorola ,motorola moto g13,128,75000,D,6,2023
Motorola ,motorola moto g13,64,70000,D,4,2023
Motorola ,motorola moto g14,128,80000,D,6,2023
Motorola ,motorola moto g14,64,75000,D,4,2023
Motorola ,motorola moto g23,128,85000,D,6,2023
Motorola ,motorola moto g23,64,80000,D,4,2023
Motorola ,motorola moto g32,128,90000,D,6,2022
Motorola ,motorola moto g32,64,85000,D,4,2022
Motorola ,motorola moto g34 5g,128,95000,C,6,2023
Motorola ,motorola moto g34 5g,64,90000,C,4,2023
Motorola ,motorola moto g53 5g,128,105000,C,6,2022
Motorola ,motorola moto g53 5g,128,95000,C,6,2022
Motorola ,motorola moto g54 5g,256,110000,C,8,2023
Motorola ,motorola moto g54 5g,128,110000,C,6,2023
Motorola ,motorola moto g73 5g,256,130000,C,8,2023
Motorola ,motorola moto g73 5g,128,120000,C,6,2023
Motorola ,motorola moto g84 5g,256,140000,B,8,2023
Motorola ,motorola moto g84 5g,128,145000,B,8,2023
Motorola ,motorola razr 40,256,165000,A,8,2023
Motorola ,motorola razr 40,256,200000,A,8,2023
Motorola ,motorola razr 40 ultra,512,230000,A,8,2023
Motorola ,motorola razr 40 ultra,128,350000,A,8,2023
Motorola ,motorola one 5g,128,45000,D,4,2020
d5cf5527-304d-466e-a064-89bca2c089cb,Motorola,"Edge 50 Pro",256GB,2025,167269,1
c43547c7-48e6-45f6-9cca-14357d6f6f4b,Motorola,"Edge 50 Pro",512GB,2025,252293,1.15
676feeeb-f111-4ad3-9078-ea1b4f0fa129,Motorola,"Edge 50 Ultra",256GB,2025,231405,1.15
00127af0-7f77-4041-afdc-af14b934dd2e,Motorola,"Edge 50 Ultra",512GB,2025,154642,1.15
3bdc3ca0-7889-4ea5-bf91-2d40efa2faef,Motorola,"G84",256GB,2025,113809,1
aaab7fde-6ed0-4b16-8bdd-c744ff6a2920,Motorola,"Moto G54",128GB,2025,133520,1.15
5cc736d7-8ca6-4849-a0c9-6d3ab8439782,Motorola,"Moto G54",256GB,2025,83718,1.15
ef5a1653-acb2-429b-a1f0-5098e22ae2d4,Motorola,"Moto G85",128GB,2025,58843,1.15
3cbf7fa7-9077-4ef7-90c2-c81de318b422,Motorola,"Moto G85",256GB,2025,125332,1.15
bb8a314f-1a65-4822-8955-e71aeeaadbc6,Motorola,"Motorola Edge (2020)",128GB,2021,48000,0.4
c0cb328d-9311-4015-96fb-1b7a98736120,Motorola,"Motorola Edge (2022)",128GB,2021,40000,0.4
d9e4abb2-8b50-4322-93b6-5756b82d2fea,Motorola,"Motorola Edge (2022)",256GB,2021,56000,0.4
31a0ab29-cc5b-4dc6-9a10-41329b9b34d6,Motorola,"Motorola Edge 20",128GB,2021,36000,0.4
0fb6dcf5-06fa-49fb-b4e2-f393234e5c9b,Motorola,"Motorola Edge 20",256GB,2021,48000,0.4
808cce2c-3f31-475e-a89a-9b783d24bd10,Motorola,"Motorola Edge 20 Fusion",128GB,2021,32000,0.4
c043f76e-4969-47ee-9acc-db4d059424fc,Motorola,"Motorola Edge 20 Lite",128GB,2022,52000,0.4
5f3b4e22-26ef-4a0c-86d6-83e8c1a40a35,Motorola,"Motorola Edge 20 Pro",128GB,2022,56000,0.4
7692623b-4d63-4ef4-9e91-24838ef4de08,Motorola,"Motorola Edge 20 Pro",256GB,2022,60000,0.4
b378691d-5984-4119-800a-5a9a4b4986b4,Motorola,"Motorola Edge 30",128GB,2022,48000,0.4
a5669a67-11bb-47e7-9968-1f8b01900077,Motorola,"Motorola Edge 30",256GB,2022,64000,0.4
acf5933d-5689-441a-8b88-0d8a5779c01c,Motorola,"Motorola Edge 30 Fusion",256GB,2022,56000,0.4
c8cd5693-f6b1-4225-bbdc-0821b7521a4d,Motorola,"Motorola Edge 30 Fusion",64GB,2022,44000,0.4
c9af9ffd-05fd-4299-91ae-7a73dbf39cc2,Motorola,"Motorola Edge 30 Neo",128GB,2022,52000,0.4
b7adf5e5-dc28-434a-819e-f5614a2645a7,Motorola,"Motorola Edge 30 Pro",128GB,2022,80000,0.4
67c2cf41-98ee-432a-af96-8b0542160506,Motorola,"Motorola Edge 30 Pro",256GB,2022,76000,0.4
cdf28f35-0dd7-4dd0-9cc2-67b3cb562f7f,Motorola,"Motorola Edge 30 Ultra",128GB,2023,64000,0.4
3b934339-692a-4ccb-afc5-bd23d645caf0,Motorola,"Motorola Edge 30 Ultra",256GB,2023,88000,0.4
94a9d908-71b5-4dec-b81d-0b547c40b027,Motorola,"Motorola Edge 30 Ultra",512GB,2023,96000,0.4
b8756d3b-f5e7-46b3-abd3-390097e0b925,Motorola,"Motorola Edge 40",128GB,2023,56000,0.4
2e2871fd-cbdf-4761-ba02-1e1fd1e1ba4a,Motorola,"Motorola Edge 40",256GB,2023,72000,0.4
bd906e38-06a1-4d5a-9240-0b53f0622c97,Motorola,"Motorola Edge 40 Fusion",128GB,2023,52000,0.4
127129c3-1dd9-4b71-b75d-b1def537a29e,Motorola,"Motorola Edge 40 Fusion",256GB,2023,64000,0.4
3e106db6-a711-4e7a-a2d6-d2cbf6a9b33b,Motorola,"Motorola Edge 40 Neo",128GB,2023,76000,0.4
e13c5dce-ba81-442a-8d4a-43dd037382a4,Motorola,"Motorola Edge 40 Neo",256GB,2023,60000,0.4
6e9ad736-f1f8-4b08-a928-791c7daa1c7d,Motorola,"Motorola Edge 40 Pro",256GB,2020,84000,0.4
c4a2159d-e6c0-4cc3-bfb2-9fa091bed362,Motorola,"Motorola Edge 40 Pro",512GB,2020,92000,0.4
495a04f2-6566-4363-bd89-3d8bb5663aa7,Motorola,"Motorola Edge 50",128GB,2020,54000,0.4
3135a320-488f-4cbf-bda2-529081bbcf57,Motorola,"Motorola Edge 50 Fusion",128GB,2020,56000,0.4
ce83e69b-f44d-4db2-b582-0f498dbd02c2,Motorola,"Motorola Edge 50 Fusion",256GB,2020,62000,0.4
231c8f97-c442-4d4d-a528-38cea741e9b3,Motorola,"Motorola Edge 50 Fusion",512GB,2020,70000,0.4
6423afd4-61f6-4f15-a4da-970f82cd69e7,Motorola,"Motorola Edge 50 Neo",128GB,2020,80000,0.4
1146a7f8-808b-4e34-8b03-db67a51d832f,Motorola,"Motorola Edge 50 Neo",256GB,2020,64000,0.4
d2078c4f-10e0-43a7-b387-031113991f73,Motorola,"Motorola Edge 50 Ultra",1024GB,2020,108000,0.4
5e5c91c5-0af1-4590-bfee-985be13bee37,Motorola,"Motorola Edge 50 Ultra",128GB,2020,78000,0.4
dce05038-8373-4615-9c8a-1cc49d57316a,Motorola,"Motorola Edge 60 Fusion",256GB,2020,86000,0.4
d8bb4244-069c-401e-ad0e-af8a36f9623d,Motorola,"Motorola Edge 60 Pro",512GB,2020,100000,0.4
1d793a36-1f39-4292-884e-5c2607e41af1,Motorola,"Motorola Edge 60 Ultra",1024GB,2020,112000,0.4
2e524dda-47f5-4784-96e9-6c5f3e7fe6f2,Motorola,"Motorola Edge 60 Ultra",256GB,2020,36000,0.4
5ab19fc2-7eea-42af-8b86-123caa6535ed,Motorola,"Motorola Edge+ (2020)",128GB,2020,60000,0.4
da729923-f4a5-4a4e-b356-c76fb1f1b6e3,Motorola,"Motorola Edge+ (2022)",256GB,2022,68000,0.4
b1ad6f64-2f24-40e1-be24-50b7b56ab756,Motorola,"Motorola Edge+ (2022)",32GB,2022,12000,0.4
